title,reference_number,solicitation_number,contract_number,publishing_status,award_date,publication_date,gsin,contract_award_procedure,tendering_procedure,customer_info,supplier_info,currency,contract_value
Replacement and Repair of Asphalt (M5000-18-0888/A),PW-17-00786338,M5000-18-0888/A,M5000-18-0888/A,Active,2017-09-08,2017-09-11,"5139A - Construction Services, Not Elsewhere Specified, 5131BB - Paving Contractor Services (except mud jacking), 5131C - Highways, Roads, Railways, Airfield Runways, 5131BI - Asphalt and Joint Sealing Services",,Open,"Hengen, Teresa 639-625-3449 5600 11th Ave Regina  SK S4P 3J7 CA",No compliant bids received,,
Aboriginal Craft Services (50400-17-2611358),PW-17-00791409,50400-17-2611358,50400-17-2611358,Active,2017-09-08,2017-09-11,U099AB - Cross-Cultural Training,,Selective,"Nelson, Janet 306-659-9252 3427 Faithfull Ave Saskatoon  SK S7K 8H6 CA","Dreaver, Brenda 106 Neatby Crescent SASKATOON, SK  S7M 4W7",,
"VALVE, OXYGEN MASK, AIRCRAFT (W0001-185312)",PW-17-00782457,W0001-185312/A,W0001-185312,Active,2017-09-07,2017-09-12,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Unisource Technology Inc. 9010 Ryan Avenue Montreal, QC H9P 2M8",,
"Hatch,Marine (W8482-182538/001/DMARP4)",PW-17-00790268,W8482-182538/A,W8482-182538/001/DMARP4,Active,2017-09-12,2017-09-13,N2040 - Marine Hardware and Hull Items,,Open,"Xiao Jun, Zhou 455 Boulevard de la Carriere Gatineau  QC J8Y 6V7 CA","Unisource Technology Inc. 9010 Ryan Avenue Montreal, QC H9P 2M8",,
"COOLER, FLUID, INDUSTRIAL (W8482-171486/001/DMARP4)",PW-17-00783753,W8482-171486/A,W8482-171486/001/DMARP4,Active,2017-09-12,2017-09-13,N4420 - Heat Exchangers and Steam Condensers,,Open,"Mcclellan, Devin 101 Colonel By Ottawa  ON K1A 0K2 CA","KAYCOM 193, Boul. Brunswick Pointe-Claire, QC H9R 5N2 Canada",,
"Washing Machine-Drying Tumbler, Household Laundry (W8482-182139/001/DMARP4)",PW-17-00787164,W8482-182139/A,W8482-182139/001/DMARP4,Active,2017-09-12,2017-09-13,N3510 - Laundry and Dry Cleaning Equipment,,Open,"Jun Zhou, Xiao 455 Boulevard de la Carriere Gatineau  QC J8Y 6V7 CA","JHT Defense Inc. 2273 Guenette Pointe-Claire, QC H9R 1A6",,
"FILTER ELEMENT, FLUID (W8482-178735/001/DMARP4)",PW-17-00781030,W8482-178735/A,W8482-178735/001/DMARP4,Active,2017-09-12,2017-09-13,"N4330 - Centrifugals, Separators, and Pressure and Vacuum Filters",,Open,"Joost, Jeremy 455 Boulevard de la Carriere Gatineau  QC J8Y 6R5 CA","Simex Defence Inc Pointe-Claire, Quebec",,
DEVELOPEMENT OF A MANAGEMENT CONTROL FRAMEWORK FOR THE JORDAN'S PRINCIPLE CHILD FIRST INITIATIVE (4500368840),PW-17-00777407,1000186887A,4500368840,Active,2017-09-13,2017-09-14,"R019AB - Professional Services / Program Advisory Services, R019BF - Human Resource Services, Business Consulting/Change Management; Project Management Services, R019R - Professional Services / Financial Analysis, R019F - Consulting Services",,Limited,"Chrapun, Sandra 204-984-6588 391 York Avenue Winnipeg  MB R3C 4W1 CA","QMR Consulting and Professional Staffing 75 Albert Street, Suite 906 Ottawa, ON K1P 5E7",,
Grants & Contributions Modernization Project (GCMP) Support (46001481),PW-17-00790596,10170602,46001481,Active,2017-09-13,2017-09-15,"R019BF - Human Resource Services, Business Consulting/Change Management; Project Management Services",,Limited,"Séguin, Line 819-997-2389 15 Eddy Street Gatineau  QC K1A 0M5 CA","BDO CANADA LLP 275 Slater Street 20th Floor Ottawa, ON  K1P 5H9",,
Automatic Particle Counter (W8486-173946/001/QE),PW-17-00787681,W8486-173946/A,W8486-173946/001/QE,Active,2017-09-15,2017-09-18,"N6630DE - COUNTERS, PARTICLE",,Open,"Barabe, Annick 819-939-8688 45 Sacré-Coeur Gatineau  QC J8X 1C6 CA",Folio Instruments Inc.,,
"Shielding Gasket,Electronic (W8482-182112/A)",PW-17-00789673,W8482-182112/A,W8482-182112/A,Active,2017-09-15,2017-09-18,N5999 - Miscellaneous Electrical and Electronic Components,,Open,"Xiao Jun, Zhou 455 Boulevard de la Carriere Gatineau  QC J8Y 6V7 CA",Robco Inc. 281 Ambassador Dr. Mississauga ON L5T 2J3,,
TBIPS-SA requirement for one (1)   A.16 Web Multi-media Content Consultant – Level 2 (87055-17-0061),PW-17-00785844,87055-17-0061/A,87055-17-0061,Active,2017-09-15,2017-09-18,D302A - Informatics Professional Services,,Selective,"Kardum, Robert 613-996-6724 410 Laurier Ave W Ottawa  ON K1P 5S9 CA","Harrington Marketing Ltd 251 Laurier Ave W., Suite 900 Ottawa, ON Canada K1 P 5J6",,
TBIPS requirement for three (3) P.9 Project Managers - Level 3 (Senior) (87055-17-0078-1),PW-17-00787086,87055-17-0078/A,87055-17-0078-1,Active,2017-09-20,2017-09-21,D302A - Informatics Professional Services,,Selective,"Kardum, Robert 613-996-6724 410 Laurier Ave W Ottawa  ON K1P 5S9 CA","The Halifax Computer Consulting Group Inc.  190 O’Connor Street, Suite 400  Ottawa, ON Canada K2P 2R3",,
TBIPS requirement for three (3) P.9 Project Managers - Level 3 (Senior) (87055-17-0078-2),PW-17-00787086,87055-17-0078/A,87055-17-0078-2,Active,2017-09-20,2017-09-21,D302A - Informatics Professional Services,,Selective,"Kardum, Robert 613-996-6724 410 Laurier Ave W Ottawa  ON K1P 5S9 CA","TEKsystems Canada Inc.  123 Slater Street, Suite 1000  Ottawa, ON Canada K1P 5H2",,
"PARTS KIT,VALVE (W8482-178822/001/DMARP4)",PW-17-00788279,W8482-178822/A,W8482-178822/001/DMARP4,Active,2017-09-14,2017-09-22,"N4810 - Valves, Powered",,Open,"Mcclellan, Devin 101 Colonel By Ottawa  ON K1A 0K2 CA","JHT Defense 2273 Guenette St Laurent, QC H4R 2E9 Canada",,
"FILTER ELEMENT, FLUID (W0001-185383)",PW-17-00788216,W0001-185383/A,W0001-185383,Active,2017-09-18,2017-09-26,"N4330 - Centrifugals, Separators, and Pressure and Vacuum Filters",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Glesco Equipment Inc. P.O. Box 97 Kirkland, Quebec H9H 0A2",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178465/01),PW-17-00777073,GRK(W8482-178465/000/A),W8482-178465/01,Active,2017-08-28,2017-09-28,N5330 - Packing and Gasket Material,,Open,"Bahar Emec  Public Services and Procurement Canada Beschaffungsministerium Kanada Mayener Strasse 87, Langemarck Kaserne, Geb. 91, D-56070  Koblenz, Germany Government of Canada","Kaycom Inc. 193 Brunswick Blvd. Pointe-Claire, Quebec H9R 5N2 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178465/02),PW-17-00777073,GRK(W8482-178465/000/A),W8482-178465/02,Active,2017-08-28,2017-09-28,"N4820 - Valves, Nonpowered",,Open,"Bahar Emec  Public Services and Procurement Canada Beschaffungsministerium Kanada Mayener Strasse 87, Langemarck Kaserne, Geb. 91, D-56070  Koblenz, Germany Government of Canada","Unisource Technology Incorporated 9010 Ryan Avenue Montreal, Quebec H9P 2M8 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178465/03),PW-17-00777073,GRK(W8482-178465/000/A),W8482-178465/03,Active,2017-08-28,2017-09-28,"N5330 - Packing and Gasket Material, N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings",,Open,"Bahar Emec  Public Services and Procurement Canada Beschaffungsministerium Kanada Mayener Strasse 87, Langemarck Kaserne, Geb. 91, D-56070  Koblenz, Germany Government of Canada","Simex Defence Inc. 216 Brunswick Blvd Pointe Claire, Quebec H9R 1A6 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178465/04),PW-17-00777073,GRK(W8482-178465/000/A),W8482-178465/04,Active,2017-08-28,2017-09-28,N5331 - O-Ring,,Open,"Bahar Emec  Public Services and Procurement Canada Beschaffungsministerium Kanada Mayener Strasse 87, Langemarck Kaserne, Geb. 91, D-56070  Koblenz, Germany Government of Canada","JHT Defense Inc. 2273 Guenette St. Laurent, Quebec H4R 2E9 Canada",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178465/05),PW-17-00777073,GRK(W8482-178465/000/A),W8482-178465/05,Active,2017-08-28,2017-09-28,"N6680 - Liquid and Gas Flow, Liquid Level and Mechanical Motion Measuring Instruments",,Open,"Bahar Emec  Public Services and Procurement Canada Beschaffungsministerium Kanada Mayener Strasse 87, Langemarck Kaserne, Geb. 91, D-56070  Koblenz, Germany Government of Canada","Miken Electronics Limited Old Horsham Road Dorking, Surrey RH5 4SL United Kingdom",,
SPARES FOR VICTORIA CLASS SUBMARINE (W8482-178465/06),PW-17-00777073,GRK(W8482-178465/000/A),W8482-178465/06,Active,2017-08-28,2017-09-28,"N4820 - Valves, Nonpowered",,Open,"Bahar Emec  Public Services and Procurement Canada Beschaffungsministerium Kanada Mayener Strasse 87, Langemarck Kaserne, Geb. 91, D-56070  Koblenz, Germany Government of Canada","Repaircraft Plc The Common Cranleigh, Surrey Gu6 8LU United Kingdom",,
"CYLINDER, FIRE EXTINGUISHER (W8482-182500/001/DMARP4)",PW-17-00788077,W8482-182500/A,W8482-182500/001/DMARP4,Active,2017-09-21,2017-09-29,N4210 - Fire Fighting Equipment,,Open,"Mcclellan, Devin 101 Colonel By Ottawa  ON K1A 0K2 CA","Simex Defence Inc 216 Brunswick Blvd Pointe-Claire, QC H9R 1A6 Canada",,
TSPS requirement for one (1) Level 3 3.8 Financial Specialist (87055-17-0027),PW-17-00781592,87055-17-0027/A,87055-17-0027,Active,2017-10-02,2017-10-03,"R019BF - Human Resource Services, Business Consulting/Change Management; Project Management Services",,Selective,"Kardum, Robert 613-996-6724 410 Laurier Ave W Ottawa  ON K1P 5S9 CA","4Plan Consulting Inc.  286 Kent Street Ottawa, ON Canada K2P 2A4",,
"HOSE ASSEMBLY SET, NONMETALLIC (W8482-178732/001/DMARP4)",PW-17-00783881,W8482-178732/A,W8482-178732/001/DMARP4,Active,2017-10-02,2017-10-03,N4720 - Hose and Flexible Tubing,,Open,"Joost, Jeremy 455 Boulevard de la Carriere Gatineau  QC J8Y 6R5 CA","Cantwell Cullen Hydraulics London, Ontario Canada",,
"HOSE ASSEMBLY SET, NONMETALLIC (W8482-178732/002/DMARP4)",PW-17-00797576,W8482-178732/A,W8482-178732/002/DMARP4,Active,2017-10-02,2017-10-03,N4720 - Hose and Flexible Tubing,,Open,"Joost, Jeremy 455 Boulevard de la Carriere Gatineau  QC J8Y 6R5 CA","Simex Defence Inc Pointe-Claire, Quebec",,
Psychological Services (21201-17-2593390),PW-17-00784297,21201-17-2593390,21201-17-2593390,Active,2017-10-03,2017-10-04,G009G - Health and Welfare Services,,Open,"Bourque, Lise 506-851-6977 1045 Main Moncton  NB E1C 1H1 CA","Psychologie et Consultations Roussel Inc. 10 rue Emmerson, Suite 103 Edmundston, NB  E3V 1R7",,
Physician Services for Inmates – Mission Complex (21849-17-0055),PW-17-00795456,21849-17-0055,21849-17-0055,Active,2017-10-11,2017-10-12,"G009D - Health and Allied Services, Not Elsewhere Specified",,Open,"Hupper, Amber 604-870-2556 33991 GLADYS AVE ABBOTSFORD  BC V2S 2E8 CA",Dr. Keith Dawson,,
Physician Services for Inmates – Pacific Institution (21860-17-0057),PW-17-00795457,21860-17-0057,21860-17-0057,Active,2017-10-11,2017-10-12,"G009D - Health and Allied Services, Not Elsewhere Specified",,Open,"Hupper, Amber 604-870-2556 33991 GLADYS AVE ABBOTSFORD  BC V2S 2E8 CA",Dr. Niall O'Dwyer Inc.,,
Physician Services for Inmates – Fraser Valley Institution (21850-17-0067),PW-17-00795459,21850-14-0067,21850-17-0067,Active,2017-10-11,2017-10-12,G009E - Medical/Dental Clinic Services,,Open,"Hupper, Amber 604-870-2556 33991 GLADYS AVE ABBOTSFORD  BC V2S 2E8 CA",Dr. Elizabeth Watt Inc.,,
Cancelled (21250-17-2581966),PW-17-00784786,21250-17-2581966,21250-17-2581966,Cancelled,2017-10-10,2017-10-13,G009A - Dental Services,,Open,"Bourque, Lise 506-851-6977 1045 Main Moncton  NB E1C 1H1 CA","Dr. L.W. Trerice Dentist Incoporated 541 Travis Road RR # 5 Amherst, NS  B4H 3Y3",,
"SHEET, METAL (W8482-182083/001/DMARP4)",PW-17-00787249,W8482-182083/A,W8482-182083/001/DMARP4,Active,2017-10-13,2017-10-16,"N9515 - Plate, Sheet, Strip, Foil and Leaf",,Open,"Joost, Jeremy 455 Boulevard de la Carriere Gatineau  QC J8Y 6R5 CA","Beauroux Consultant Inc Gatineau, Quebec",,
Physician Services for Inmates – William Head Institution (21820-17-0059),PW-17-00795834,21820-17-0059,21820-17-0059,Active,2017-10-13,2017-10-16,G009E - Medical/Dental Clinic Services,,Open,"Hupper, Amber 604-870-2556 33991 GLADYS AVE ABBOTSFORD  BC V2S 2E8 CA",Dr. Anthony K. Jong Inc.,,
"WEIGHT, COUNTER BALANCE (W0001-185314)",PW-17-00782604,W0001-185314/A,W0001-185314,Active,2017-08-09,2017-10-19,"N5855 - Night Vision Equipment, Emitted and Reflected Radiation",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","KAYCOM 193 Brunswick Blvd. Pointe-Claire, Quebec H9R 5N2",,
"CLEANING LIQUID, JET (W0001-185341)",PW-17-00783333,W0001-185341/A,W0001-185341,Active,2017-09-06,2017-10-19,N6850 - Miscellaneous Chemical Specialities,,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","JHT Defence Inc. 2273 Guenelle Saint-Laurent, Quebec H4R 2E9",,
FITTING TEST VALVE (W8482-182257/002/DMARP4),PW-17-00790576,W8482-182257/A,W8482-182257/002/DMARP4,Active,2017-10-10,2017-10-19,"N4820 - Valves, Nonpowered",,Open,Devin McClellan  101 Colonel By K1A 0K2 CA,"Unisource Technology Inc 9010 Ryan Ave. Dorval, QC H9P 2M8 Canada",,
"EXPANSION JOINT, PIPE (W8482-178716/001/DMARP4)",PW-17-00782020,W8482-178716/A,W8482-178716/001/DMARP4,Active,2017-10-19,2017-10-20,"N4730 - Hose, Pipe, Tube, Lubrication, and Railing Fittings",,Open,"Joost, Jeremy 455 Boulevard de la Carriere Gatineau  QC J8Y 6R5 CA","Prototype Integrated Solutions Milner, British Columba Canada",,
Cancelled (W0001-185273),PW-17-00786525,W0001-185273/A,W0001-185273,Cancelled,2017-10-06,2017-10-20,N8475 - Specialized Flight Clothing and Accessories,,Limited,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Climate Technical Gear Ltd. 100 Wright Avenue, Unit 22 Dartmouth, NS B3B 1L3 Canada",,
Radio Set (W8482-171648/001/DMARP4),PW-17-00794063,W8482-171648/A,W8482-171648/001/DMARP4,Active,2017-10-19,2017-10-20,"N5825 - Radio Navigation Equipment, Except Airborne",,Open,"Xiao Jun, Zhou 455 Boulevard de la Carriere Gatineau  QC J8Y 6V7 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, Quebec H9R 1A6",,
"CONNECTOR, OXYGEN MASK (W0001-185330/001)",PW-17-00783335,W0001-185330/A,W0001-185330/001,Active,2017-09-06,2017-10-27,"N5995 - Cable, Cord, and Wire Assemblies, Communication Equipment, N6230 - Electric Portable and Hand Lighting Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","JHT Defense Inc. 2273 Guenelle Saint-Laurent, Quebec H4R 2E9",,
"BUSHING, SLEEVE (W0001-185412)",PW-17-00793347,W0001-185413/A,W0001-185412,Active,2017-10-25,2017-10-31,"N5365 - Bushings, Rings, Shims and Spacers",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Glesco Equipment Inc. P.O. Box97 Kirkland, Quebec H9H 0A2",,
"LUBRICATING UNIT, HAND OPERATED (W0001-185388)",PW-17-00790093,W0001-185388/A,W0001-185388,Active,2017-10-03,2017-11-01,N4930 - Lubrication and Fuel Dispensing Equipment,,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Glesco Equipment Inc. P.O. Box 97 Kirkland, Quebec H9H 0A2",,
"CYLINDER ASSEMBLY, ACTUATING, LINEAR (W0001-185395)",PW-17-00790120,W0001-185395/A,W0001-185395,Active,2017-09-29,2017-11-01,"N3040 - Power Transmission Equipment, Miscellaneous",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Glesco Equipment Inc. P.O. Box 97 Kirkland, Quebec H9H 0A2",,
"HARNESS, AIRCRAFT SAFETY, SHOULDER (W0001-185313)",PW-17-00794574,W0001-185398/A,W0001-185313,Active,2017-10-30,2017-11-01,N1680 - Miscellaneous Aircraft Accessories and Components,,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","CASP Aerospace Inc. 98 Columbus Avenue Pointe-Claire, Quebec H9R 4K4",,
Physician Services - Regional Psychiatric Centre - Praire Region (50400-17-2616416),PW-17-00793294,50400-17-2616416,50400-17-2616416,Active,2017-11-01,2017-11-02,G009G - Health and Welfare Services,,Limited,"Chabot, Claudette 306-659-9255 3427 Faithfull Avenue Saskatoon  SK S7K 8H6 CA",101233051 Saskatchewan Ltd. o/a Apica Medical Services Saskatoon SK.,,
"NET, LIFTING HELICOPTER (W0001-185297/001)",PW-17-00782455,W0001-185297/A,W0001-185297/001,Active,2017-10-27,2017-11-03,"N1670 - Parachutes, Aerial Pick-Up Delivery, Recovery Systems, and Cargo Tie Down Equipment, N4020 - Fibre Rope, Cordage and Twine, N5920 - Fuses, Arresters, Absorbers, and Protectors",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, Quebec H9R 1A6",,
"CONNECTOR, OXYGEN MASK (W0001-185330/002)",PW-17-00783335,W0001-185330/A,W0001-185330/002,Active,2017-09-06,2017-11-03,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, Quebec H9R 1A6",,
"RESCUE UNIT, EMERGENCY (W0001-185355)",PW-17-00786759,W0001-185355/A,W0001-185355,Active,2017-09-06,2017-11-03,"N1660 - Aircraft Air Conditioning, Heating and Pressurizing Equipment",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Brunswick Blvd. Pointe-Claire, Quebec H9R 1A6",,
Construction of the Snowflake Kingdom  - Winterlude (10170897),PW-17-00797218,10170897,10170897,Active,2017-11-02,2017-11-03,5129B - Construction of Other Buildings,,Open,"Seguin, Line 819-997-2389 15 Eddy Street Gatineau  QC K1A 0M5 CA","Meyknecht-Lischer Contractors Ltd. 145 Walgreen Road Carp, ON K0A 1L0",,
"RFSO – Cleaning Supplies – Jasper National Park, AB (5P420-17-5201)",PW-17-00792400,5P420-17-5201/A,5P420-17-5201,Active,2017-11-02,2017-11-08,"N7920 - Brooms, Brushes, Mops and Sponges, N7910 - Floor Polishers and Vacuum Cleaning Equipment, N7930D - CLEANING AND POLISHING COMPOUND, N7930E - DETERGENT, GENERAL PURPOSE",,Open,"Alexander, Sarah 403-292-4738 1300-635 8 Ave SW Calgary  AB T2P 3M3 CA","Corporate Express Canada Inc. operating as Staples Business Advantage 550 Pendant Drive,  Mississauga, ON  L5T 2W6",,
"Fan, Ventilating (W8482-182201/001/DMARP4)",PW-17-00783723,W8482-182201/B,W8482-182201/001/DMARP4,Active,2017-10-13,2017-11-09,"N4140 - Fans, Air Circulators and Blower Equipment",,Open,"Thomas, Therese 101 Colonel By Dr Ottawa  ON K1A 0K2 CA","Simex Defence Inc Point-Claire, QC H9R 1A6",,
"Image Intensifier, Night Vision (W8482-182067-001-DMARP4)",PW-17-00783877,W8482-182067/A,W8482-182067-001-DMARP4,Active,2017-09-27,2017-11-09,"N5855 - Night Vision Equipment, Emitted and Reflected Radiation",,Open,"Thomas, Therese 101 Colonel By Dr Ottawa  ON K1A 0K2 CA","Millbrook Tactical Inc Carp, ON K0A 1L0",,
"TEST STATION, ELECTRICAL (W0001-185313)",PW-17-00797335,W0001-185313/A,W0001-185313,Active,2017-10-31,2017-11-09,"N4920 - Aircraft Maintenance and Repair Shop Specialized Equipment, N5965 - Headsets, Handsets, Microphones and Speakers, N5995 - Cable, Cord, and Wire Assemblies, Communication Equipment",,Limited,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Pro Flight Gear LLC. 11700 W. Avra Valley Rd. Marana, Arizona 85653 USA",,
"SWITCH, PUSH (W8482-171515/A)",PW-17-00770324,W8482-171515,W8482-171515/A,Active,2017-06-16,2017-11-10,N5930 - Switches,,Open,"Billingham, Ryan 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Simex Defence Inc. 216 Boul. Brunswick POinte-Claire, QC Canada, H9R 1A6",,
Standing Offer: Crane rental with operator - Rideau Canal National Historic Site (5P301-17-0002/001),PW-17-00788622,5P301-17-0002,5P301-17-0002/001,Active,2017-09-27,2017-11-10,"5181A - Construction Equipment Rental, with Operator",,Open,"Alguire, Patrick 613-938-5955 111 Water St East Cornwall  ON K6H 6S3 CA","Haffie Crane Ltd 307 Old River Road Mallorytown, ON K0E 1R0",,
Request for Standing Offer – Diving Services Rideau Canal National Historic Site (5P301-17-0001/001),PW-17-00788624,5P301-17-0001/A,5P301-17-0001/001,Active,2017-09-26,2017-11-10,V506A - Diving and Salvage Services,,Open,"Alguire, Patrick 613-938-5955 111 Water St East Cornwall  ON K6H 6S3 CA",Lower Lakes Marine 2863 Television Rd Peterborough ON K9L 1E9,,
Request for Standing Offer – Diving Services Rideau Canal National Historic Site (5P301-17-0001/002),PW-17-00803313,5P301-17-0001/A,5P301-17-0001/002,Active,2017-09-26,2017-11-10,V506A - Diving and Salvage Services,,Open,"Alguire, Patrick 613-938-5955 111 Water St East Cornwall  ON K6H 6S3 CA",ODS Marine 6866 McKeown Drive Greeley ON K4P 1A2,,
Request for Standing Offer – Diving Services Rideau Canal National Historic Site (5P301-17-0001/003),PW-17-00803314,5P301-17-0001/A,5P301-17-0001/003,Active,2017-09-26,2017-11-10,V506A - Diving and Salvage Services,,Open,"Alguire, Patrick 613-938-5955 111 Water St East Cornwall  ON K6H 6S3 CA","Dundee Marine 1114 Bauder Dr Hartington, ON K0H 1W0",,
Standing Offer: Crane rental with operator - Rideau Canal National Historic Site (5P301-17-0002/002),PW-17-00803317,5P301-17-0002,5P301-17-0002/002,Active,2017-09-27,2017-11-10,"5181A - Construction Equipment Rental, with Operator",,Open,"Alguire, Patrick 613-938-5955 111 Water St East Cornwall  ON K6H 6S3 CA","Sterling Crane Division of Procrane Inc 6799 Hiram Drive Ottawa, ON K4P 1A2",,
Standing Offer: Crane rental with operator - Rideau Canal National Historic Site (5P301-17-0002/003),PW-17-00803318,5P301-17-0002,5P301-17-0002/003,Active,2017-09-27,2017-11-10,"5181A - Construction Equipment Rental, with Operator",,Open,"Alguire, Patrick 613-938-5955 111 Water St East Cornwall  ON K6H 6S3 CA","Barrie crane Rental Ltd O/A Ottawa Crane Rental 37 Bentley Ave Ottawa, ON K2E 6T7",,
"STOKES LITTERS, RIGID (W0001-185393)",PW-17-00790086,W0001-185393/A,W0001-185393,Active,2017-11-14,2017-11-15,"N6530 - Hospital Furniture, Equipment, Utensils and Supplies",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","Lifesaving System Corp. 220 Elsberry Rd. Apollo Beach, Florida 33572 USA",,
"NET, LIFTING HELICOPTER (W0001-185297/002)",PW-17-00782455,W0001-185297/A,W0001-185297/002,Active,2017-10-27,2017-11-21,"N1670 - Parachutes, Aerial Pick-Up Delivery, Recovery Systems, and Cargo Tie Down Equipment, N4020 - Fibre Rope, Cordage and Twine, N5920 - Fuses, Arresters, Absorbers, and Protectors",,Open,"Mcilveen, Ralph 101 Colonel By Drive Ottawa  ON K1A 0K2 CA","JHT Defense Inc. 2273 Guenette St. Laurent, QC H4R 2E9",,
Laboratory analysis on samples of water and soil (2000332),PW-17-00788504,17-22045,2000332,Active,2017-11-23,2017-11-24,K107CE - Soil Analysis Services,,Open,613-993-5506 1200 Montreal Road Ottawa  ON K1A 0R6 CA,AGAT Laboratories,,
"Requirement for Update of the CSA  standards used at NRC, “Guidelines to reflect Climate Change Adaptation and Extreme Weather events” (895759)",PW-17-00798426,17-22078,895759,Active,2017-11-23,2017-11-24,"N6625V - STANDARDS, ELECTRICAL",,Limited,"Gillis, Johnathon 613-993-5506 1200 Montreal Road, M22 Ottawa  ON K1A 0R6 CA","CSA Group  178 Rexdale Blvd.,  Toronto, ON M9W 1R3",,
Shielded Bag Test System (W8486-184302/001/QE),PW-17-00793145,W8486-184302/A,W8486-184302/001/QE,Active,2017-11-24,2017-11-27,N6625 - Electrical and Electronic Properties Measuring and Testing Instruments,,Open,Julianne Eng 819-939-9078 101 Colonel By Drive Ottawa  ON K1A 0K2 CA,"First Choice (Canada) Group 4789 Younge St., suite 1014 North York, ON  M2N 0G3",,
RF Survey Antenna Kit (W8486-184254/001/QE),PW-17-00794308,W8486-184254/A,W8486-184254/001/QE,Active,2017-11-24,2017-11-27,"N5985 - Antennas, Waveguides and Related Equipment",,Open,Julianne Eng 819-939-9078 101 Colonel By Drive Ottawa  ON K1A 0K2 CA,"Telepro Inc.  2400 Chemin Lucerne, suite 155 Mont-Royal QC H3R 2J8",,
Circular Polarised Antenna and Diagonal Dual Horn Antenna (W8486-173249/001/QE),PW-17-00796747,W8486-173549/A,W8486-173249/001/QE,Active,2017-11-24,2017-11-27,"N5985 - Antennas, Waveguides and Related Equipment",,Open,Julianne Eng 819-939-9078 101 Colonel By Drive Ottawa  ON K1A 0K2 CA,Testforce Systems Inc. 107-235 Menten Place Ottawa ON K2H 9C1,,
"Scuttle, Marine (W8482-182539/001/DMARP4)",PW-17-00795563,W8482-182539/A,W8482-182539/001/DMARP4,Active,2017-11-20,2017-11-28,N2040 - Marine Hardware and Hull Items,,Limited,Jeremy Joost 455 Boulevard de la Carriere Gatineau  QC J8Y 6V7 CA,"Joiner Systems Inc.,  A Trident Maritime Systems Company  1925 52nd Avenue, Montreal, QC  H8T 3C3 Canada",,
"Hose Assembly, Nonmetallic (W8482-182893/001/DMARP4)",PW-17-00796050,W8482-182893/A,W8482-182893/001/DMARP4,Active,2017-11-23,2017-11-28,N4720 - Hose and Flexible Tubing,,Open,Jeremy Joost 455 Boulevard de la Carriere Gatineau  QC J8Y 6V7 CA,"Hydraulics International Inc. 9201 Independence Avenue Chatsworth, California, USA  91311",,
"Hose Assembly, Nonmetallic (W8482-182893/002/DMARP4)",PW-17-00796050,W8482-182893/A,W8482-182893/002/DMARP4,Active,2017-11-23,2017-11-28,N4720 - Hose and Flexible Tubing,,Open,Jeremy Joost 455 Boulevard de la Carriere Gatineau  QC J8Y 6V7 CA,"Kaycom Inc. 193 Brunswick Blvd., Pointe-Claire, QC  H9R 5N2 Canada",,
